,Tumor purity
TCGA-05-4244,0.7019
TCGA-05-4249,0.64
TCGA-05-4250,0.637
TCGA-05-4382,0.381
TCGA-05-4384,0.6937
TCGA-05-4389,0.6365
TCGA-05-4390,0.7245
TCGA-05-4395,0.7424
TCGA-05-4396,0.8575
TCGA-05-4397,0.7943
TCGA-05-4398,0.5172
TCGA-05-4402,0.6367
TCGA-05-4403,0.5991
TCGA-05-4405,0.592
TCGA-05-4410,0.5286
TCGA-05-4415,0.8018
TCGA-05-4417,0.5416
TCGA-05-4418,0.656
TCGA-05-4420,0.7413
TCGA-05-4422,0.7019
TCGA-05-4424,0.5353
TCGA-05-4425,0.6944
TCGA-05-4426,0.8361
TCGA-05-4427,0.6325
TCGA-05-4430,0.4406
TCGA-05-4432,0.6573
TCGA-05-4433,0.6843
TCGA-05-4434,0.4379
TCGA-05-5420,0.3563
TCGA-05-5423,0.645
TCGA-05-5425,0.523
TCGA-05-5428,0.7199
TCGA-05-5429,0.7911
TCGA-05-5715,0.6809
TCGA-35-3615,0.7943
TCGA-35-4122,0.3716
TCGA-35-4123,0.5422
TCGA-35-5375,0.7519
TCGA-38-4625,0.6678
TCGA-38-4626,0.3526
TCGA-38-4627,0.4862
TCGA-38-4628,0.637
TCGA-38-4629,0.4569
TCGA-38-4630,0.8498
TCGA-38-4631,0.7072
TCGA-38-4632,0.5602
TCGA-38-6178,0.6553
TCGA-38-7271,0.3431
TCGA-44-2655,0.5834
TCGA-44-2656,0.4861
TCGA-44-2657,0.4853
TCGA-44-2659,0.5517
TCGA-44-2661,0.4379
TCGA-44-2662,0.4072
TCGA-44-2665,0.5896
TCGA-44-2666,0.791
TCGA-44-2668,0.4297
TCGA-44-3396,0.4
TCGA-44-3398,0.3905
TCGA-44-3917,0.4892
TCGA-44-3918,0.4777
TCGA-44-3919,0.656
TCGA-44-4112,0.6708
TCGA-44-5643,0.6533
TCGA-44-5644,0.8198
TCGA-44-5645,0.7167
TCGA-44-6145,0.4508
TCGA-44-6146,0.9
TCGA-44-6147,0.7875
TCGA-44-6148,0.7473
TCGA-44-6774,0.5043
TCGA-44-6775,0.7367
TCGA-44-6776,0.8193
TCGA-44-6777,0.5186
TCGA-44-6778,0.4164
TCGA-44-6779,0.5646
TCGA-44-7659,0.74
TCGA-44-7660,0.8281
TCGA-44-7661,0.4876
TCGA-44-7662,0.4761
TCGA-44-7667,0.6368
TCGA-44-7669,0.637
TCGA-44-7670,0.7263
TCGA-44-7671,0.7982
TCGA-44-7672,0.4187
TCGA-44-8117,0.7326
TCGA-44-8119,0.5584
TCGA-44-8120,0.6556
TCGA-44-A479,0.3824
TCGA-44-A47A,0.6494
TCGA-44-A47B,0.6985
TCGA-44-A47G,0.3734
TCGA-44-A4SS,0.4406
TCGA-44-A4SU,0.6701
TCGA-49-4486,0.8456
TCGA-49-4487,0.4429
TCGA-49-4488,0.6937
TCGA-49-4490,0.6257
TCGA-49-4494,0.7019
TCGA-49-4501,0.5801
TCGA-49-4505,0.5801
TCGA-49-4506,0.6515
TCGA-49-4510,0.7697
TCGA-49-6742,0.7352
TCGA-49-6743,0.5671
TCGA-49-6744,0.4123
TCGA-49-6745,0.5477
TCGA-49-6761,0.6033
TCGA-49-6767,0.614
TCGA-49-AAQV,0.5552
TCGA-49-AAR0,0.6344
TCGA-49-AAR3,0.5929
TCGA-49-AAR4,0.5243
TCGA-49-AAR9,0.7622
TCGA-49-AARE,0.7406
TCGA-49-AARN,0.7562
TCGA-49-AARO,0.5745
TCGA-49-AARR,0.6664
TCGA-4B-A93V,0.6573
TCGA-50-5045,0.4327
TCGA-50-5049,0.44
TCGA-50-5051,0.7233
TCGA-50-5055,0.2992
TCGA-50-5066,0.4019
TCGA-50-5068,0.4018
TCGA-50-5072,0.6525
TCGA-50-5930,0.5508
TCGA-50-5931,0.8271
TCGA-50-5932,0.8322
TCGA-50-5933,0.4379
TCGA-50-5935,0.7367
TCGA-50-5936,0.6819
TCGA-50-5939,0.5016
TCGA-50-5941,0.381
TCGA-50-5942,0.7653
TCGA-50-5944,0.7034
TCGA-50-5946,0.7409
TCGA-50-6590,0.4514
TCGA-50-6591,0.895
TCGA-50-6592,0.4683
TCGA-50-6593,0.5698
TCGA-50-6594,0.7413
TCGA-50-6595,0.4503
TCGA-50-6673,0.6361
TCGA-50-7109,0.64
TCGA-50-8457,0.5992
TCGA-50-8459,0.5505
TCGA-50-8460,0.5551
TCGA-53-7624,0.8436
TCGA-53-7626,0.5549
TCGA-53-A4EZ,0.7135
TCGA-55-1592,0.6978
TCGA-55-1594,0.6844
TCGA-55-1595,0.5594
TCGA-55-1596,0.7913
TCGA-55-5899,0.7421
TCGA-55-6543,0.7295
TCGA-55-6642,0.5125
TCGA-55-6712,0.4532
TCGA-55-6968,0.6713
TCGA-55-6969,0.4475
TCGA-55-6970,0.6653
TCGA-55-6971,0.381
TCGA-55-6972,0.9048
TCGA-55-6975,0.5991
TCGA-55-6978,0.4128
TCGA-55-6979,0.3431
TCGA-55-6980,0.4959
TCGA-55-6981,0.5575
TCGA-55-6982,0.5638
TCGA-55-6983,0.5446
TCGA-55-6984,0.7928
TCGA-55-6985,0.5233
TCGA-55-6986,0.6777
TCGA-55-6987,0.3147
TCGA-55-7227,0.6584
TCGA-55-7281,0.5588
TCGA-55-7283,0.7103
TCGA-55-7284,0.6025
TCGA-55-7570,0.7034
TCGA-55-7573,0.6328
TCGA-55-7574,0.3431
TCGA-55-7576,0.6489
TCGA-55-7724,0.5022
TCGA-55-7725,0.6887
TCGA-55-7726,0.5615
TCGA-55-7727,0.6357
TCGA-55-7728,0.539
TCGA-55-7815,0.4681
TCGA-55-7816,0.5679
TCGA-55-7903,0.7098
TCGA-55-7907,0.5498
TCGA-55-7910,0.7195
TCGA-55-7911,0.5588
TCGA-55-7913,0.5537
TCGA-55-7914,0.6939
TCGA-55-7994,0.6245
TCGA-55-7995,0.5924
TCGA-55-8085,0.6248
TCGA-55-8087,0.8572
TCGA-55-8089,0.3411
TCGA-55-8090,0.7223
TCGA-55-8091,0.6776
TCGA-55-8092,0.5233
TCGA-55-8094,0.8439
TCGA-55-8096,0.4737
TCGA-55-8097,0.7493
TCGA-55-8203,0.5405
TCGA-55-8204,0.5852
TCGA-55-8205,0.381
TCGA-55-8206,0.5991
TCGA-55-8207,0.7034
TCGA-55-8208,0.3242
TCGA-55-8299,0.4137
TCGA-55-8301,0.381
TCGA-55-8302,0.6573
TCGA-55-8505,0.6573
TCGA-55-8506,0.6661
TCGA-55-8507,0.7466
TCGA-55-8508,0.6026
TCGA-55-8510,0.5577
TCGA-55-8511,0.4895
TCGA-55-8512,0.7711
TCGA-55-8513,0.5425
TCGA-55-8514,0.6573
TCGA-55-8614,0.7081
TCGA-55-8615,0.7303
TCGA-55-8616,0.7852
TCGA-55-8619,0.4228
TCGA-55-8620,0.7038
TCGA-55-8621,0.5738
TCGA-55-A48X,0.5617
TCGA-55-A48Y,0.6527
TCGA-55-A48Z,0.6648
TCGA-55-A490,0.6244
TCGA-55-A491,0.6043
TCGA-55-A493,0.546
TCGA-55-A494,0.9135
TCGA-55-A4DF,0.6391
TCGA-55-A4DG,0.7232
TCGA-55-A57B,0.6309
TCGA-62-8394,0.7622
TCGA-62-8395,0.7146
TCGA-62-8397,0.7
TCGA-62-8398,0.6917
TCGA-62-8399,0.7107
TCGA-62-8402,0.7091
TCGA-62-A46O,0.9357
TCGA-62-A46R,0.6292
TCGA-62-A46S,0.7381
TCGA-62-A46U,0.5078
TCGA-62-A46V,0.7545
TCGA-62-A46Y,0.6126
TCGA-62-A471,0.7466
TCGA-62-A472,0.7466
TCGA-64-1678,0.8146
TCGA-64-1679,0.5704
TCGA-64-1680,0.7508
TCGA-64-1681,0.6654
TCGA-64-5774,0.7704
TCGA-64-5775,0.6923
TCGA-64-5779,0.6064
TCGA-64-5781,0.5576
TCGA-64-5815,0.5551
TCGA-67-3770,0.6326
TCGA-67-3771,0.5991
TCGA-67-3772,0.5707
TCGA-67-3773,0.6599
TCGA-67-3774,0.6284
TCGA-67-4679,0.8218
TCGA-67-6215,0.7878
TCGA-67-6216,0.5915
TCGA-67-6217,0.578
TCGA-69-7760,0.7853
TCGA-69-7761,0.4103
TCGA-69-7763,0.6144
TCGA-69-7764,0.8079
TCGA-69-7765,0.539
TCGA-69-7973,0.7392
TCGA-69-7974,0.5606
TCGA-69-7978,0.3778
TCGA-69-7979,0.7452
TCGA-69-7980,0.7267
TCGA-69-8253,0.758
TCGA-69-8254,0.693
TCGA-69-8255,0.6203
TCGA-69-8453,0.4925
TCGA-69-A59K,0.6573
TCGA-71-6725,0.8068
TCGA-71-8520,0.6788
TCGA-73-4658,0.5334
TCGA-73-4659,0.6262
TCGA-73-4662,0.6275
TCGA-73-4666,0.5991
TCGA-73-4668,0.6655
TCGA-73-4670,0.7508
TCGA-73-4675,0.7027
TCGA-73-4676,0.7337
TCGA-73-4677,0.7019
TCGA-73-7498,0.7355
TCGA-73-7499,0.5676
TCGA-73-A9RS,0.7488
TCGA-75-5122,0.3382
TCGA-75-5125,0.5325
TCGA-75-5126,0.4674
TCGA-75-5146,0.6906
TCGA-75-5147,0.6223
TCGA-75-6203,0.4095
TCGA-75-6205,0.3236
TCGA-75-6206,0.8145
TCGA-75-6207,0.7977
TCGA-75-6211,0.5327
TCGA-75-6212,0.5599
TCGA-75-6214,0.7191
TCGA-75-7025,0.5637
TCGA-75-7027,0.7591
TCGA-75-7030,0.5982
TCGA-75-7031,0.6764
TCGA-78-7143,0.7784
TCGA-78-7145,0.734
TCGA-78-7146,0.7694
TCGA-78-7147,0.7508
TCGA-78-7148,0.7169
TCGA-78-7150,0.749
TCGA-78-7152,0.6844
TCGA-78-7153,0.8237
TCGA-78-7154,0.8117
TCGA-78-7155,0.8811
TCGA-78-7156,0.8909
TCGA-78-7158,0.9088
TCGA-78-7159,0.5643
TCGA-78-7160,0.4858
TCGA-78-7161,0.8637
TCGA-78-7162,0.6477
TCGA-78-7163,0.7654
TCGA-78-7167,0.8281
TCGA-78-7220,0.7356
TCGA-78-7536,0.7846
TCGA-78-7537,0.8098
TCGA-78-7539,0.6168
TCGA-78-7540,0.7557
TCGA-78-7542,0.6054
TCGA-78-7633,0.874
TCGA-78-8640,0.7109
TCGA-78-8648,0.4118
TCGA-78-8655,0.6573
TCGA-78-8660,0.5202
TCGA-78-8662,0.8731
TCGA-80-5607,0.6465
TCGA-80-5608,0.6345
TCGA-80-5611,0.6307
TCGA-83-5908,0.4854
TCGA-86-6562,0.6059
TCGA-86-6851,0.4502
TCGA-86-7701,0.5066
TCGA-86-7711,0.5034
TCGA-86-7713,0.7792
TCGA-86-7714,0.7124
TCGA-86-7953,0.546
TCGA-86-7954,0.4711
TCGA-86-7955,0.869
TCGA-86-8054,0.8646
TCGA-86-8055,0.4782
TCGA-86-8056,0.6817
TCGA-86-8073,0.6105
TCGA-86-8074,0.6097
TCGA-86-8075,0.5429
TCGA-86-8076,0.45
TCGA-86-8278,0.6614
TCGA-86-8279,0.6975
TCGA-86-8280,0.5801
TCGA-86-8281,0.6889
TCGA-86-8358,0.8081
TCGA-86-8359,0.6717
TCGA-86-8585,0.5413
TCGA-86-8668,0.6406
TCGA-86-8669,0.6974
TCGA-86-8671,0.3802
TCGA-86-8672,0.5377
TCGA-86-8674,0.6611
TCGA-86-A456,0.5977
TCGA-86-A4D0,0.8313
TCGA-86-A4JF,0.6573
TCGA-86-A4P7,0.5201
TCGA-86-A4P8,0.5144
TCGA-91-6828,0.5138
TCGA-91-6829,0.6335
TCGA-91-6830,0.5314
TCGA-91-6831,0.656
TCGA-91-6835,0.3848
TCGA-91-6836,0.7982
TCGA-91-6840,0.7434
TCGA-91-6847,0.9191
TCGA-91-6848,0.4348
TCGA-91-6849,0.6688
TCGA-91-7771,0.6621
TCGA-91-8496,0.7913
TCGA-91-8497,0.6351
TCGA-91-8499,0.7542
TCGA-91-A4BC,0.3736
TCGA-93-7347,0.4277
TCGA-93-7348,0.5279
TCGA-93-8067,0.6998
TCGA-93-A4JN,0.6621
TCGA-93-A4JO,0.4597
TCGA-93-A4JP,0.6919
TCGA-93-A4JQ,0.4322
TCGA-95-7039,0.7014
TCGA-95-7043,0.8273
TCGA-95-7562,0.6951
TCGA-95-7567,0.6756
TCGA-95-7944,0.5358
TCGA-95-7947,0.7556
TCGA-95-7948,0.8167
TCGA-95-8039,0.5954
TCGA-95-8494,0.6973
TCGA-95-A4VK,0.6418
TCGA-95-A4VN,0.5148
TCGA-97-7546,0.6975
TCGA-97-7547,0.6749
TCGA-97-7552,0.4233
TCGA-97-7553,0.4474
TCGA-97-7554,0.5815
TCGA-97-7937,0.6596
TCGA-97-7938,0.7431
TCGA-97-7941,0.6706
TCGA-97-8171,0.9309
TCGA-97-8172,0.6107
TCGA-97-8174,0.5242
TCGA-97-8175,0.6338
TCGA-97-8176,0.7626
TCGA-97-8177,0.406
TCGA-97-8179,0.765
TCGA-97-8547,0.6947
TCGA-97-8552,0.6412
TCGA-97-A4LX,0.3896
TCGA-97-A4M0,0.7152
TCGA-97-A4M1,0.7475
TCGA-97-A4M2,0.5034
TCGA-97-A4M3,0.7858
TCGA-97-A4M5,0.6407
TCGA-97-A4M6,0.5034
TCGA-97-A4M7,0.5507
TCGA-99-7458,0.4759
TCGA-99-8025,0.6365
TCGA-99-8032,0.6462
TCGA-99-8033,0.5896
TCGA-99-AA5R,0.4704
TCGA-J2-8192,0.5494
TCGA-J2-8194,0.6495
TCGA-J2-A4AD,0.8129
TCGA-J2-A4AE,0.7158
TCGA-J2-A4AG,0.5169
TCGA-L4-A4E5,0.6887
TCGA-L4-A4E6,0.5016
TCGA-L9-A444,0.5395
TCGA-L9-A50W,0.7251
TCGA-L9-A5IP,0.7466
TCGA-L9-A743,0.3926
TCGA-L9-A7SV,0.8126
TCGA-L9-A8F4,0.4757
TCGA-MN-A4N4,0.6214
TCGA-MN-A4N5,0.6829
TCGA-MP-A4SV,0.6126
TCGA-MP-A4SW,0.5685
TCGA-MP-A4SY,0.6857
TCGA-MP-A4T4,0.393
TCGA-MP-A4T6,0.8047
TCGA-MP-A4T7,0.7243
TCGA-MP-A4T8,0.7574
TCGA-MP-A4T9,0.5925
TCGA-MP-A4TA,0.5554
TCGA-MP-A4TC,0.5243
TCGA-MP-A4TD,0.5888
TCGA-MP-A4TE,0.7516
TCGA-MP-A4TF,0.7019
TCGA-MP-A4TH,0.5225
TCGA-MP-A4TI,0.3025
TCGA-MP-A4TJ,0.418
TCGA-MP-A4TK,0.5836
TCGA-MP-A5C7,0.8071
TCGA-NJ-A4YF,0.7913
TCGA-NJ-A4YG,0.632
TCGA-NJ-A4YI,0.6935
TCGA-NJ-A4YP,0.614
TCGA-NJ-A4YQ,0.4331
TCGA-NJ-A55A,0.5566
TCGA-NJ-A55O,0.6928
TCGA-NJ-A55R,0.7913
TCGA-NJ-A7XG,0.773
TCGA-O1-A52J,0.6489
TCGA-S2-AA1A,0.43
